distr_pair_id,initial_type,rebalancing_mechanism,lpt_factor,rebalanced,osd_id,folder_id,moved,osd_load
0,caprand,lpt_mean1.05,48719119.155,initial,server 7,10,2_unmoved,12786292
0,caprand,lpt_mean1.05,48719119.155,initial,server 0,41,2_unmoved,12464865
0,caprand,lpt_mean1.05,48719119.155,initial,server 1,11,2_unmoved,11521972
0,caprand,lpt_mean1.05,48719119.155,initial,server 2,16,2_unmoved,11408821
0,caprand,lpt_mean1.05,48719119.155,initial,server 1,98,2_unmoved,10405940
0,caprand,lpt_mean1.05,48719119.155,initial,server 9,43,2_unmoved,10285867
0,caprand,lpt_mean1.05,48719119.155,initial,server 3,17,2_unmoved,10263175
0,caprand,lpt_mean1.05,48719119.155,initial,server 6,38,2_unmoved,10203046
0,caprand,lpt_mean1.05,48719119.155,initial,server 6,42,2_unmoved,10162693
0,caprand,lpt_mean1.05,48719119.155,initial,server 0,9,2_unmoved,9631281
0,caprand,lpt_mean1.05,48719119.155,initial,server 6,70,2_unmoved,9603045
0,caprand,lpt_mean1.05,48719119.155,initial,server 4,15,2_unmoved,9347187
0,caprand,lpt_mean1.05,48719119.155,initial,server 7,37,2_unmoved,9342914
0,caprand,lpt_mean1.05,48719119.155,initial,server 1,78,2_unmoved,9334067
0,caprand,lpt_mean1.05,48719119.155,initial,server 9,77,2_unmoved,9095561
0,caprand,lpt_mean1.05,48719119.155,initial,server 3,36,2_unmoved,9034648
0,caprand,lpt_mean1.05,48719119.155,initial,server 6,69,2_unmoved,9009444
0,caprand,lpt_mean1.05,48719119.155,initial,server 7,61,2_unmoved,8476916
0,caprand,lpt_mean1.05,48719119.155,initial,server 0,68,2_unmoved,8476504
0,caprand,lpt_mean1.05,48719119.155,initial,server 9,23,2_unmoved,7947547
0,caprand,lpt_mean1.05,48719119.155,initial,server 0,62,2_unmoved,7403653
0,caprand,lpt_mean1.05,48719119.155,initial,server 0,72,2_unmoved,7285764
0,caprand,lpt_mean1.05,48719119.155,initial,server 2,99,2_unmoved,7121802
0,caprand,lpt_mean1.05,48719119.155,initial,server 8,76,2_unmoved,7027235
0,caprand,lpt_mean1.05,48719119.155,initial,server 5,71,2_unmoved,6994574
0,caprand,lpt_mean1.05,48719119.155,initial,server 5,22,2_unmoved,6974300
0,caprand,lpt_mean1.05,48719119.155,initial,server 3,64,2_unmoved,6905297
0,caprand,lpt_mean1.05,48719119.155,initial,server 8,65,2_unmoved,6629243
0,caprand,lpt_mean1.05,48719119.155,initial,server 4,91,2_unmoved,6477562
0,caprand,lpt_mean1.05,48719119.155,initial,server 8,14,2_unmoved,6456903
0,caprand,lpt_mean1.05,48719119.155,initial,server 6,40,2_unmoved,6345641
0,caprand,lpt_mean1.05,48719119.155,initial,server 6,63,1_moved_away,6312832
0,caprand,lpt_mean1.05,48719119.155,initial,server 2,46,2_unmoved,6168821
0,caprand,lpt_mean1.05,48719119.155,initial,server 6,5,1_moved_away,6148717
0,caprand,lpt_mean1.05,48719119.155,initial,server 5,97,2_unmoved,6148091
0,caprand,lpt_mean1.05,48719119.155,initial,server 1,93,2_unmoved,5939603
0,caprand,lpt_mean1.05,48719119.155,initial,server 6,44,1_moved_away,5574785
0,caprand,lpt_mean1.05,48719119.155,initial,server 9,39,2_unmoved,5422853
0,caprand,lpt_mean1.05,48719119.155,initial,server 7,92,2_unmoved,5370917
0,caprand,lpt_mean1.05,48719119.155,initial,server 9,20,2_unmoved,5370914
0,caprand,lpt_mean1.05,48719119.155,initial,server 5,33,2_unmoved,5338621
0,caprand,lpt_mean1.05,48719119.155,initial,server 3,35,2_unmoved,5185184
0,caprand,lpt_mean1.05,48719119.155,initial,server 1,86,2_unmoved,5140212
